TWEET,Geo,latitude,logitude,id,created_at,retweet_count,coordinates
"94742: Stationary Vehicle on N3 Eastbound after Ramp from Ohrtmann Road. Left lane closed. Drive Carefully.
https://t.co/5ZFR9ZHWlA https://t.co/VostBNxhCE","{'coordinates': [-29.60896477, 30.40999199], 'type': 'Point'}",-29.60896477,30.40999199,1.2461E+18,Fri Apr 03 15:44:56 +0000 2020,0,"{'coordinates': [30.40999199, -29.60896477], 'type': 'Point'}"
"Nepean Hwy , Brighton - Traffic Alert, Two lanes closed in both directions approaching  North Road for… https://t.co/qYqHT8w4ea #victraffic","{'coordinates': [-37.89742093, 145.00556709], 'type': 'Point'}",-37.89742093,145.0055671,1.246E+18,Fri Apr 03 09:03:02 +0000 2020,0,"{'coordinates': [145.00556709, -37.89742093], 'type': 'Point'}"
"Racecourse Rd , North Melbourne - Traffic Alert, A car and tram have collided near Boundary Road. No… https://t.co/zoQhaddKe3 #victraffic","{'coordinates': [-37.7891756, 144.94003075], 'type': 'Point'}",-37.7891756,144.9400308,1.24597E+18,Fri Apr 03 07:06:02 +0000 2020,0,"{'coordinates': [144.94003075, -37.7891756], 'type': 'Point'}"
"Canterbury Rd , Bayswater North - Traffic Alert, Traffic lights are out at Bayswater Road and in the… https://t.co/wgJcynd1BH #victraffic","{'coordinates': [-37.83217074, 145.26937039], 'type': 'Point'}",-37.83217074,145.2693704,1.24587E+18,Fri Apr 03 00:06:02 +0000 2020,0,"{'coordinates': [145.26937039, -37.83217074], 'type': 'Point'}"
"94730: Stationary Vehicle on N3 Westbound after Ramp to Mahogony Ridge I/C (Stockville Road). Left lane closed. Drive Carefully.
https://t.co/5ZFR9ZHWlA","{'coordinates': [-29.82234686, 30.8069087], 'type': 'Point'}",-29.82234686,30.8069087,1.24583E+18,Thu Apr 02 21:31:14 +0000 2020,0,"{'coordinates': [30.8069087, -29.82234686], 'type': 'Point'}"
SMALL KINE TRAFFIC. IT BETTER BE BE ESSENTIAL ROAD WORK OR IM DOING A CITIZEN'S ARREST 😂 https://t.co/ZOrtKxQQMz,"{'coordinates': [21.3780534, -157.928147], 'type': 'Point'}",21.3780534,-157.928147,1.24574E+18,Thu Apr 02 15:31:10 +0000 2020,1,"{'coordinates': [-157.928147, 21.3780534], 'type': 'Point'}"
"""So, it’s turns out y’all non-essentials are the bad drivers."" --Alejandro Vega

#traffic #accident #road #roads #nonessential #COVID-19 #Houston @ Houston, Texas https://t.co/DGmb7Qxenp","{'coordinates': [29.7602, -95.3694], 'type': 'Point'}",29.7602,-95.3694,1.24572E+18,Thu Apr 02 14:37:28 +0000 2020,0,"{'coordinates': [-95.3694, 29.7602], 'type': 'Point'}"
"Steady Run in the Glorious Sun ☀️ 
Keeping Solo which means running on the road on occasion because some people don’t think they should give anyone else space 🤨 good job the traffic is light.
•
Not ranting but… https://t.co/R3u5d6LzV0","{'coordinates': [53.49333467, -1.16305299], 'type': 'Point'}",53.49333467,-1.16305299,1.24571E+18,Thu Apr 02 13:37:04 +0000 2020,0,"{'coordinates': [-1.16305299, 53.49333467], 'type': 'Point'}"
"In a bid to discourage people from coming out on roads during the lockdown, Bengaluru Traffic Police have inscribed a message that reads, ""If you come to road, I'll come to your home.""

It was written on the road at… https://t.co/63Y9085hwE","{'coordinates': [12.96643, 77.58721], 'type': 'Point'}",12.96643,77.58721,1.24562E+18,Thu Apr 02 08:08:48 +0000 2020,0,"{'coordinates': [77.58721, 12.96643], 'type': 'Point'}"
"Mickleham Rd  (C739), Westmeadows - Traffic Alert, Traffic lights are flashing amber on Mickleham Road… https://t.co/cMNnPQizEe #victraffic","{'coordinates': [-37.68946989, 144.88204883], 'type': 'Point'}",-37.68946989,144.8820488,1.24558E+18,Thu Apr 02 05:15:02 +0000 2020,0,"{'coordinates': [144.88204883, -37.68946989], 'type': 'Point'}"
"North Shore Rd  (C116), Norlane - Traffic Alert, North Shore Road is closed in both directions between… https://t.co/okkzRai8jN #victraffic","{'coordinates': [-38.10003927, 144.36498318], 'type': 'Point'}",-38.10003927,144.3649832,1.24551E+18,Thu Apr 02 00:36:02 +0000 2020,1,"{'coordinates': [144.36498318, -38.10003927], 'type': 'Point'}"
"Felt SO good to get out of the house for a road trip to Saltgrass restaurant in Witchita KS for contractor on Sunday.  14 hour  day with very little traffic, especially at night, but to get out was worth every… https://t.co/ZpKiRsyCbT","{'coordinates': [37.73073594, -97.20727941], 'type': 'Point'}",37.73073594,-97.20727941,1.24548E+18,Wed Apr 01 22:35:52 +0000 2020,0,"{'coordinates': [-97.20727941, 37.73073594], 'type': 'Point'}"
"Toorak Rd , Kooyong - Traffic Alert, Left lane closed inbound near Glenferrie Road for water works.… https://t.co/1a16663PDR #victraffic","{'coordinates': [-37.8437893, 145.03154021], 'type': 'Point'}",-37.8437893,145.0315402,1.24545E+18,Wed Apr 01 20:33:02 +0000 2020,1,"{'coordinates': [145.03154021, -37.8437893], 'type': 'Point'}"
"Kingsbury Drive , Bundoora - Traffic Alert, Traffic lights are on flash at Ring Road due to a fault.… https://t.co/91ZVjz1HW2 #victraffic","{'coordinates': [-37.71828938, 145.04428228], 'type': 'Point'}",-37.71828938,145.0442823,1.24543E+18,Wed Apr 01 19:33:03 +0000 2020,0,"{'coordinates': [145.04428228, -37.71828938], 'type': 'Point'}"
"Balaclava Rd , Caulfield North - Traffic Alert, Traffic lights on flash at Hawthorn Road due to a… https://t.co/Js1xVpUfgX #victraffic","{'coordinates': [-37.87267313, 145.02470892], 'type': 'Point'}",-37.87267313,145.0247089,1.24543E+18,Wed Apr 01 19:33:02 +0000 2020,0,"{'coordinates': [145.02470892, -37.87267313], 'type': 'Point'}"
"Warrigal Rd , Bentleigh East - Traffic Alert, Traffic lights are on flash at South Road due to a… https://t.co/l1EZtsIRT0 #victraffic","{'coordinates': [-37.9385799, 145.07969924], 'type': 'Point'}",-37.9385799,145.0796992,1.2451E+18,Tue Mar 31 21:09:02 +0000 2020,0,"{'coordinates': [145.07969924, -37.9385799], 'type': 'Point'}"
"#TransformationTuesday Apologies for the gnarly selfie, but the past few months have been pretty intense. On January 15th on the way work, I was involved in a road traffic accident where a lorry crashed into the car… https://t.co/3geyBVTzmv","{'coordinates': [50.93307927, -1.43419645], 'type': 'Point'}",50.93307927,-1.43419645,1.24506E+18,Tue Mar 31 18:41:43 +0000 2020,0,"{'coordinates': [-1.43419645, 50.93307927], 'type': 'Point'}"
